39;039 - HOTEL DES MONNAIES / MUNTHOTEL;HOTEL DES MONNAIES/MUNTHOTEL - BLD DE WATERLOO- WATERLOOLAAN 93/94/95/96/98;50.834237, 4.350732;False;False;OPEN;Bruxelles-Capitale;25;2;22;2018-04-29T14:36:45+02:00
88;088 - WOESTE;WOESTE - AVENUE NOTRE DAME DE LOURDES / ONZE-LIEVE-VROUW VAN LOURDESLAAN;50.873354, 4.334311;False;False;OPEN;Bruxelles-Capitale;25;12;13;2018-04-29T14:36:32+02:00
258;258 - LIBERTE (FERMÉE - TRAVAUX DE VOIRIE);FERMÉE - TRAVAUX DE VOIRIE - LIBERTE - AV DE LA LIBERTE, 44 / VRIJHEIDSLAAN,44;50.862152, 4.323353;True;True;CLOSED;Bruxelles-Capitale;16;0;0;2018-04-29T14:37:20+02:00
193;193 - GARE DE L'OUEST;GARE DE L'OUEST - CHEE DE NINOVE 207,209 / NINOOFSESTEENWEG 207,209;50.848866, 4.320628;True;False;OPEN;Bruxelles-Capitale;30;22;8;2018-04-29T14:37:31+02:00
233;233 - PARC DUDEN / DUDEN PARK;PARC DUDEN / DUDEN PARK - AV VICTOR ROUSSEAU FACE 132 / VICTOR ROUSSEAULAAN VOOR 132;50.813858, 4.330992;False;True;OPEN;Bruxelles-Capitale;20;13;7;2018-04-29T14:36:44+02:00
141;141 - GARE DU NORD/NOORDSTATION;GARE DU NORD/NOORDSTATION - PLACE SIMON BOLIVAR/ SIMON BOLIVARLAAN;50.860652, 4.358116;True;False;OPEN;Bruxelles-Capitale;42;24;18;2018-04-29T14:36:37+02:00
203;203 - DEMOSTHENE (FERMÉE);FERMÉE - DÉPLACEMENT STATION - DEMOSTHENE - BD PRINCE DE LIEGE / PRINS VAN LUIKLAAN 216-218-220;50.84045, 4.305055;False;False;CLOSED;Bruxelles-Capitale;15;0;4;2018-04-29T14:37:07+02:00
48;048 - CONGRES;CONGRES - RUE ROYALE/KONINGSSTRAAT 144-146-148;50.849358, 4.363589;True;True;OPEN;Bruxelles-Capitale;23;10;13;2018-04-29T14:37:16+02:00
327;327 - SIBELGA;SIBELGA - QUAI DES USINES / WERKHUIZENKAAI 16;50.874082, 4.362205;False;False;OPEN;Bruxelles-Capitale;20;5;15;2018-04-29T14:36:20+02:00
103;103 - ERNEST SOLVAY;ERNEST SOLVAY - RUE DE L'ARBRE BENIT/GEWIJDE BOOMSTRAAT 2-4-6;50.834792, 4.364115;True;True;OPEN;Bruxelles-Capitale;25;25;0;2018-04-29T14:36:18+02:00
30;030 - LAEKEN / LAKEN;LAEKEN/LAKEN - RUE DE LAEKEN (ENTRE N° 119 ET 109) / LAKENSESTRAAT (TUSSEN N° 119 EN 109);50.853666, 4.351771;False;False;OPEN;Bruxelles-Capitale;25;1;23;2018-04-29T14:35:59+02:00
169;169 - GEORGES EEKHOUD;GEORGES EEKHOUD - AVENUE GEORGES EEKHOUD/GEORGES EEKHOUDLAAN 56;50.877125, 4.387515;True;False;OPEN;Bruxelles-Capitale;25;8;17;2018-04-29T14:35:36+02:00
84;084 - STE ANNE/SINT-ANNA;STE ANNE/SINT-ANNA  -  RUE DE L'EGLISE STE ANNE/SINT-ANNAKERKSTRAAT 116;50.85896, 4.330107;True;False;OPEN;Bruxelles-Capitale;20;4;15;2018-04-29T14:36:00+02:00
259;259 - NOVILLE;NOVILLE - SQ NOVILLE;50.859608, 4.33409;False;False;OPEN;Bruxelles-Capitale;20;5;15;2018-04-29T14:36:07+02:00
62;062 - CORTENBERGH / KORTENBERG;CORTENBERGH / KORTENBERG - AVENUE D'AUDERGHEM 1 - 9 /OUDERGHEMLAAN 1-9;50.84177, 4.38418;True;False;OPEN;Bruxelles-Capitale;40;39;1;2018-04-29T14:35:24+02:00
275;275 - VERSAILLES;VERSAILLES - AVENUE DE VERSAILLES / VERSAILLESLAAN 125;50.896278, 4.372427;False;False;OPEN;Bruxelles-Capitale;20;3;17;2018-04-29T14:35:16+02:00
174;174 - MENNEKENS/MENNEKENS;MENNEKENS - AVENUE BRIGADE PIRON (FACE AUX 80 - 82 - 84)/ BRIGADE PIRONLAAN (TEGENOVER 80 - 82 - 84);50.853947, 4.31635;False;False;OPEN;Bruxelles-Capitale;22;10;12;2018-04-29T14:34:53+02:00
354;354 - TRIOMPHE / TRIOMF;TRIOMPHE - BD DU TRIOMPHE / TRIOMFLAAN  105 - 107;50.821557, 4.402288;True;True;OPEN;Bruxelles-Capitale;20;16;4;2018-04-29T14:35:14+02:00
69;069 - LESBROUSSART;LESBROUSSART - AVENUE LOUISE/LOUIZALAAN 192;50.827577, 4.363797;True;True;OPEN;Bruxelles-Capitale;29;23;4;2018-04-29T14:35:19+02:00
60;060 - ST-LAZARE/ST LAZARUS;ST-LAZARE/SINT-LAZARUS   -   BLD SAINT-LAZARE/SINT-LAZARUSLAAN 4 -10;50.856714, 4.362106;False;False;OPEN;Bruxelles-Capitale;25;13;12;2018-04-29T14:34:30+02:00
310;310 - SAINT-VINCENT / SINT-VINCENTIUS;SAINT VINCENT / SINT-VINCENTIUS - RUE STROOBANTS/STROOBANTSSTRAAT;50.88058, 4.401674;False;False;OPEN;Bruxelles-Capitale;20;7;13;2018-04-29T14:33:51+02:00
261;261 - CONSCIENCE;CONSCIENCE - AVENUE HENRI CONSCIENCE / HENRI CONSCIENCELAAN 83;50.86879, 4.399587;False;False;OPEN;Bruxelles-Capitale;20;12;8;2018-04-29T14:33:52+02:00
277;277 - VAN PRAET;VAN PRAET - AVENUE VAN PRAET / VAN PRAETLAAN;50.881588, 4.373817;False;False;OPEN;Bruxelles-Capitale;21;7;14;2018-04-29T14:34:21+02:00
326;326 - ADEPS;ADEPS - CHEE DE WAVRE / WAVERSESTEENWEG 2057;50.809406, 4.443777;False;False;OPEN;Bruxelles-Capitale;22;8;11;2018-04-29T14:33:51+02:00
97;097 - KARREVELD;KARREVELD - CHAUSSEE DE GAND/ GENTSESTEENWEG 1-3;50.858058, 4.318689;True;False;OPEN;Bruxelles-Capitale;25;20;5;2018-04-29T14:39:24+02:00
26;026 - VAN LINT;VAN LINT - RUE VAN LINT/ VAN LINTSTRAAT 6 - 8;50.839413, 4.328914;True;False;OPEN;Bruxelles-Capitale;23;13;10;2018-04-29T14:38:50+02:00
243;243 - RONDPOINT CHURCHILL/ROTONDE CHURCHILL;RONDPOINT CHURCHILL/ROTONDE CHURCHILL - AV MESSIDOR FACE 338/MESSIDORLAAN TEGENOVER 338;50.811752, 4.353424;True;True;OPEN;Bruxelles-Capitale;25;17;6;2018-04-29T14:38:33+02:00
320;320 - UZ BRUSSEL;UZ BRUSSEL - AVENUE DE L'ARBRE BALLON / DIKKE-BEUKLAAN;50.887001, 4.310701;True;False;OPEN;Bruxelles-Capitale;20;5;15;2018-04-29T14:38:36+02:00
177;177 - CHASSEURS ARDENNAIS/ARDENSE JAGERS;CHASSEURS ARDENNAIS/ARDENSE JAGERSPLEIN - RUE DU NOYER 81-87 /NOTELAARSSTRAAT 81-87;50.849409, 4.389263;False;True;OPEN;Bruxelles-Capitale;25;8;17;2018-04-29T14:39:21+02:00
184;184 - PHILIPPE BAUCQ;PHILIPPE BAUCQ - RUE PHILIPPE BAUCQ / PHILIPPE BAUCQSTRAAT 32 - 38;50.831592, 4.385786;True;False;OPEN;Bruxelles-Capitale;25;16;9;2018-04-29T14:38:36+02:00
52;052 - SAINCTELETTE;SAINCTELETTE - PLACE SAINCTELETTE/SAINCTELETTEPLEIN;50.859212, 4.34551;True;False;OPEN;Bruxelles-Capitale;25;3;21;2018-04-29T14:39:30+02:00
47;047 - LES QUAIS / KAAIEN;LES QUAIS/KAAIEN - QUAI A LA CHAUX/KALKKAAI 1-2;50.854714, 4.347151;True;False;OPEN;Bruxelles-Capitale;20;0;20;2018-04-29T14:40:11+02:00
143;143 - RTL;RTL  - CHAUSSEE DE LOUVAIN (DVT 770)/ LEUVENSE STEENWEG (N° 770);50.857218, 4.407879;True;False;OPEN;Bruxelles-Capitale;25;12;13;2018-04-29T14:40:27+02:00
167;167 - CHARLES V/KAREL V;CHARLES V/KAREL V - AVENUE CHARLES QUINT/KEIZER KARELLAAN 129-131;50.869032, 4.309731;True;False;OPEN;Bruxelles-Capitale;22;17;5;2018-04-29T14:40:06+02:00
137;137 - MAISON COMMUNALE DE SCHAERBEEK;MAISON COMMUNALE DE SCHAERBEEK / SCHAARBEEK GEMEENTEHUIS - RUE ROYALE SAINTE MARIE/KONINKLIJKE SINTE-MARIASTRAAT 241-243-245;50.86661, 4.373102;True;False;OPEN;Bruxelles-Capitale;25;12;13;2018-04-29T14:40:07+02:00
226;226 - UNION/UNIE;UNION/UNIE - BD DE LA DEUXIEME ARMEE BRITANNIQUE / BRITS TWEEDELEGERLAAN 8 - 2;50.819939, 4.325277;True;False;OPEN;Bruxelles-Capitale;25;0;25;2018-04-29T14:40:03+02:00
146;146 - LEOPOLD III/LEOPOLD III;LEOPOLD III -  BOULEVARD LEOPOLD III / LEOPOLD III-LAAN;50.859243, 4.401022;True;False;OPEN;Bruxelles-Capitale;25;12;12;2018-04-29T14:39:37+02:00
76;076 - PLACE VAN MEENEN/VAN MEENENPLEIN;PLACE VAN MEENEN/VAN MEENENPLEIN - AV PAUL DEJAER (FACE 35 - 39) / PAUL DEJAERLAAN (TEGENOVER 35 - 39);50.825749, 4.345165;True;False;OPEN;Bruxelles-Capitale;25;19;6;2018-04-29T14:41:00+02:00
85;085 - ETANGS NOIRS/ZWARTE VIJVERS;ETANGS NOIRS /ZWARTE VIJVERS - CHEE DE GAND/STEENWEG OP GENT;50.8572655241, 4.33236837869;True;False;OPEN;Bruxelles-Capitale;25;14;11;2018-04-29T14:40:51+02:00
350;350 - VERHEYLEWEGHEN;VERHEYLEWEGHEN - PLACE VERHEYLEWEGHEN DVT LES N°32-34;50.848184, 4.425621;False;False;OPEN;Bruxelles-Capitale;22;10;12;2018-04-29T14:41:06+02:00
21;021 - DE BROUCKERE (FERMÉE - TRAVAUX DE VOIRIE);FERMÉE - TRAVAUX DE VOIRIE - DE BROUCKERE - PLACE DE BROUCKERE/DE BROUCKEREPLEIN;50.851919, 4.352776;True;False;CLOSED;Bruxelles-Capitale;38;0;0;2018-02-21T23:22:19+01:00
34;034 - FONTAINAS (FERMÉE - TRAVAUX);FERMÉE - TRAVAUX - FONTAINAS - BLD ANSPACH N°180 A 192/ANSPACHLAAN N°180 TOT 192;50.84563, 4.346942;False;False;CLOSED;Bruxelles-Capitale;31;0;0;2018-04-19T22:24:48+02:00
