source,target,distance,duration,pm
43,296,730,542,81.73152426770001
43,278,964,769,68.9933087846
43,161,1090,790,99.98156291020001
43,202,877,640,76.03960916279999
43,58,1186,921,71.9299716552
43,221,1196,965,75.5059659219
43,293,1043,754,81.2891103011
43,212,1263,1004,50.5839205185
43,129,1287,943,53.556469353900006
43,42,1585,1142,63.0527347267
43,234,1298,964,71.5451252288
43,33,1363,972,85.8128491799
43,241,1653,1283,60.021995610699996
43,313,1388,1000,67.72113476770001
44,347,1999,1488,80.5187830018
44,341,1269,953,65.7374033112
44,164,1086,847,65.5982412424
44,192,1087,852,80.5927926709
44,199,1219,961,72.6879923273
44,313,1614,1270,67.72113476770001
44,321,1555,1204,49.5888810612
44,274,1430,1102,69.9193069262
44,33,1949,1508,85.8128491799
44,30,1739,1312,80.85567106149999
44,269,1786,1382,78.4049566324
44,229,1957,1553,73.3096244056
44,37,2140,1661,48.3707316667
44,56,1828,1428,45.552062742
44,287,1470,1126,76.2765884656
44,150,1898,1465,76.7812260557
44,147,2039,1585,67.5403061262
44,202,1988,1584,76.03960916279999
44,293,1904,1523,81.2891103011
45,340,955,689,64.1130886905
45,302,815,630,76.7783417243
45,138,767,543,68.8844873755
45,342,1141,869,71.53704598770001
45,264,1256,894,70.0731934033
45,2,1712,1263,53.5807796005
45,246,1875,1388,89.0083571717
