,Unnamed: 0,latitude,longitude,address,position,pm2.5,long_wgs84,lat_wgs84,E_utm,N_utm,geometry,x,y,z
20,98,50.85904,4.312402,CIMETIERE/KERKHOF - BLD METTEWIE/METTEWIELAAN 40 INTERSECTION CHAUSSÉE DE GAND/GENTSESTEENWEEG,"50.85904, 4.312402",69.1429609991,4.312402,50.85904,5246064.492380001,10116930.5083,POINT (4.312402 50.85904),-2056.5638195010542,-1387.605512630475,-5868.111893755669
21,166,50.876205,4.337137,GC ESSEGEM - RUE AMELIE GOMAND 51- 45,"50.876205, 4.337137",88.2752636484,4.337137,50.876205,5243540.76622,10119097.9302,POINT (4.337137 50.876205),-1912.9242363476426,-1339.0372123830984,-5927.675869162136
22,39,50.834237,4.350732,HOTEL DES MONNAIES/MUNTHOTEL - BLD DE WATERLOO- WATERLOOLAAN 93/94/95/96/98,"50.834237, 4.350732",60.9683429662,4.350732,50.834237,5249511.91022,10120511.3432,POINT (4.350732 50.834237),-1899.3401789318639,-1214.082573657401,-5958.871654016094
23,88,50.873354,4.3343110000000005,WOESTE - AVENUE NOTRE DAME DE LOURDES / ONZE-LIEVE-VROUW VAN LOURDESLAAN,"50.873354, 4.334311",86.9757323843,4.3343110000000005,50.873354,5243956.5000599995,10118854.2564,POINT (4.334311 50.873354),-1930.4771999781165,-1343.139899984089,-5921.053452675072
24,258,50.862152,4.323353,"FERMÉE - TRAVAUX DE VOIRIE - LIBERTE - AV DE LA LIBERTE, 44 / VRIJHEIDSLAAN,44","50.862152, 4.323353",85.7473585269,4.323353,50.862152,5245589.60741,10117909.5342,POINT (4.323353000000001 50.862152),-1998.955631750628,-1357.807903497858,-5894.927911305718
25,193,50.848865999999994,4.320628,"GARE DE L'OUEST - CHEE DE NINOVE 207,209 / NINOOFSESTEENWEG 207,209","50.848866, 4.320628",64.5694833772,4.320628,50.848865999999994,5247499.06306,10117719.0906,POINT (4.320628 50.848866),-2030.2178131566181,-1339.9744636641824,-5888.321073775567
26,233,50.813858,4.330992,PARC DUDEN / DUDEN PARK - AV VICTOR ROUSSEAU FACE 132 / VICTOR ROUSSEAULAAN VOOR 132,"50.813858, 4.330992",77.2854769087,4.330992,50.813858,5252484.71912,10118808.4922,POINT (4.330992 50.813858),-2023.6851674580766,-1236.2133087128293,-5913.215368847262
27,141,50.860652,4.358116000000001,GARE DU NORD/NOORDSTATION - PLACE SIMON BOLIVAR/ SIMON BOLIVARLAAN,"50.860652, 4.358116",71.1402668045,4.358116000000001,50.860652,5245709.46627,10121065.5509,POINT (4.358116 50.860652),-1830.126158099682,-1239.1213051338025,-5975.354185033954
28,203,50.84045,4.305055,FERMÉE - DÉPLACEMENT STATION - DEMOSTHENE - BD PRINCE DE LIEGE / PRINS VAN LUIKLAAN 216-218-220,"50.84045, 4.305055",76.4428413975,4.305055,50.84045,5248745.80201,10116342.8451,POINT (4.305055 50.84045),-2118.1269255366815,-1372.5449921385405,-5849.72645273879
29,48,50.849358,4.363589,CONGRES - RUE ROYALE/KONINGSSTRAAT 144-146-148,"50.849358, 4.363589",61.2441039757,4.363589,50.849358,5247311.18479,10121610.9503,POINT (4.363589 50.849358),-1816.691026521427,-1200.3271461507532,-5987.3608089349445
