,latitude,longitude,address,position,pm2.5,long_wgs84,lat_wgs84,E_utm,N_utm,geometry
233,50.813858,4.330992,PARC DUDEN / DUDEN PARK - AV VICTOR ROUSSEAU FACE 132 / VICTOR ROUSSEAULAAN VOOR 132,"50.813858, 4.330992",77.2854769087,4.330992,50.813858,5252484.71912,10118808.4922,POINT (4.330992 50.813858)
141,50.860652,4.358116,GARE DU NORD/NOORDSTATION - PLACE SIMON BOLIVAR/ SIMON BOLIVARLAAN,"50.860652, 4.358116",71.1402668045,4.358116,50.860652,5245709.46627,10121065.5509,POINT (4.358116 50.860652)
203,50.84045,4.305055,FERMÉE - DÉPLACEMENT STATION - DEMOSTHENE - BD PRINCE DE LIEGE / PRINS VAN LUIKLAAN 216-218-220,"50.84045, 4.305055",76.4428413975,4.305055,50.84045,5248745.80201,10116342.8451,POINT (4.305055 50.84045)
48,50.849358,4.363589,CONGRES - RUE ROYALE/KONINGSSTRAAT 144-146-148,"50.849358, 4.363589",61.2441039757,4.363589,50.849358,5247311.18479,10121610.9503,POINT (4.363589 50.849358)
327,50.874082,4.362205,SIBELGA - QUAI DES USINES / WERKHUIZENKAAI 16,"50.874082, 4.362205",80.8556710615,4.362205,50.874082,5243775.79836,10121377.1921,POINT (4.362205 50.874082)
103,50.834792,4.364115,ERNEST SOLVAY - RUE DE L'ARBRE BENIT/GEWIJDE BOOMSTRAAT 2-4-6,"50.834792, 4.364115",78.9811414735,4.364115,50.834792,5249395.40523,10121722.5637,POINT (4.364115 50.83479200000001)
30,50.853666,4.351771,LAEKEN/LAKEN - RUE DE LAEKEN (ENTRE N° 119 ET 109) / LAKENSESTRAAT (TUSSEN N° 119 EN 109),"50.853666, 4.351771",65.3059061944,4.351771,50.853666,5246727.08197,10120521.0579,POINT (4.351771 50.853666)
169,50.877125,4.387515,GEORGES EEKHOUD - AVENUE GEORGES EEKHOUD/GEORGES EEKHOUDLAAN 56,"50.877125, 4.387515",85.8128491799,4.387515,50.877125,5243269.50433,10123655.614,POINT (4.387515 50.877125)
84,50.85896,4.330107,STE ANNE/SINT-ANNA  -  RUE DE L'EGLISE STE ANNE/SINT-ANNAKERKSTRAAT 116,"50.85896, 4.330107",85.3564679043,4.330107,50.85896,5246028.32277,10118535.0978,POINT (4.330107 50.85896)
259,50.859608,4.33409,NOVILLE - SQ NOVILLE,"50.859608, 4.33409",75.9632200282,4.33409,50.859608,5245924.75504,10118893.2137,POINT (4.33409 50.859608)
62,50.84177,4.38418,CORTENBERGH / KORTENBERG - AVENUE D'AUDERGHEM 1 - 9 /OUDERGHEMLAAN 1-9,"50.84177, 4.38418",67.475269297,4.38418,50.84177,5248340.00742,10123511.0393,POINT (4.38418 50.84177)
275,50.896278,4.372427,VERSAILLES - AVENUE DE VERSAILLES / VERSAILLESLAAN 125,"50.896278, 4.372427",48.3707316667,4.372427,50.896278,5240571.0879,10122204.9659,POINT (4.372427 50.896278)
174,50.853947,4.31635,MENNEKENS - AVENUE BRIGADE PIRON (FACE AUX 80 - 82 - 84)/ BRIGADE PIRONLAAN (TEGENOVER 80 - 82 - 84),"50.853947, 4.31635",80.2301821824,4.31635,50.853947,5246783.07327,10117309.8034,POINT (4.31635 50.853947)
354,50.821557,4.402288,TRIOMPHE - BD DU TRIOMPHE / TRIOMFLAAN  105 - 107,"50.821557, 4.402288",70.7502212608,4.402288,50.821557,5251183.18418,10125243.9277,POINT (4.402288 50.821557)
69,50.827577,4.363797,LESBROUSSART - AVENUE LOUISE/LOUIZALAAN 192,"50.827577, 4.363797",75.8165504817,4.363797,50.827577,5250429.5501,10121725.399,POINT (4.363797 50.827577)
60,50.856714,4.362106,ST-LAZARE/SINT-LAZARUS   -   BLD SAINT-LAZARE/SINT-LAZARUSLAAN 4 -10,"50.856714, 4.362106",67.5753996258,4.362106,50.856714,5246262.1662,10121444.3029,POINT (4.362106 50.856714)
310,50.88058,4.401674,SAINT VINCENT / SINT-VINCENTIUS - RUE STROOBANTS/STROOBANTSSTRAAT,"50.88058, 4.401674",63.0527347267,4.401674,50.88058,5242734.89908,10124922.0793,POINT (4.401674 50.88058)
261,50.86879,4.399587,CONSCIENCE - AVENUE HENRI CONSCIENCE / HENRI CONSCIENCELAAN 83,"50.86879, 4.399587",68.7891225744,4.399587,50.86879,5244428.21036,10124786.1842,POINT (4.399587 50.86879)
277,50.881588,4.373817,VAN PRAET - AVENUE VAN PRAET / VAN PRAETLAAN,"50.881588, 4.373817",91.3705713807,4.373817,50.881588,5242669.2571,10122395.597,POINT (4.373817 50.881588)
326,50.809406,4.443777,ADEPS - CHEE DE WAVRE / WAVERSESTEENWEG 2057,"50.809406, 4.443777",77.1143133982,4.443777,50.809406,5252803.166,10129064.3603,POINT (4.443777 50.809406)
97,50.858058,4.318689,KARREVELD - CHAUSSEE DE GAND/ GENTSESTEENWEG 1-3,"50.858058, 4.318689",71.6928034532,4.318689,50.858058,5246188.23958,10117504.3406,POINT (4.318689 50.85805800000001)
