,latitude,longitude,address,position,pm2.5,long_wgs84,lat_wgs84,E_utm,N_utm,geometry
255,50.868011,4.313968,"SACRE-COEUR DE GANSHOREN / HEILIGE HART VAN GANSHOREN - AV CHARLESQUINT,9 / KEISERKARELLAAN,9","50.868011, 4.313968",68.9461574578,4.313968,50.868011,5244776.08574,10117034.4947,POINT (4.313968000000001 50.868011)
358,50.82708,4.444795,MADOUX - AVENUE DE TERVUREN FACE 403,"50.82708, 4.444795",81.5101077422,4.444795,50.82708,5250268.81726,10129074.5331,POINT (4.444795 50.82708000000001)
301,50.806271,4.387673,MARIE-JOSE - PLACE MARIE-JOSE FACE 6 / MARIE-JOSE PLAATS VOOR 6,"50.806271, 4.387673",77.6481734864,4.387673,50.806271,5253414.349,10123986.307,POINT (4.387673000000001 50.806271)
148,50.855629,4.394807,GARE MEISER / MEISER STATION - AVENUE ROGIER/ ROGIERLAAN 377 - 379,"50.855629, 4.394807",72.781853626,4.394807,50.855629,5246325.7173,10124412.2866,POINT (4.394807 50.85562900000001)
80,50.814852,4.376794,"CERES - AV. F. ROOSEVELT/F. ROOSEVELTLAAN, 14","50.814852, 4.376794",72.0930478377,4.376794,50.814852,5252215.81691,10122960.7237,POINT (4.376794 50.814852)
31,50.850303,4.360706,MUSEE DE LA BD/STRIPMUSEUM - BOULEVARD PACHECO/PACHECOLAAN,"50.850303, 4.360706",52.7749660718,4.360706,50.850303,5247183.88418,10121345.5056,POINT (4.360706 50.850303)
19,50.827955,4.347791,PLACE MORICHAR / MORICHARPLEIN - RUE DES ETUDIANTS/ STUDENTENSTRAAT 32 - 34,"50.827955, 4.347791",64.462857676,4.347791,50.827955,5250419.65897,10120271.886,POINT (4.347791 50.827955)
107,50.827652,4.359031,DEFACQZ - RUE DEFACQZ/ DEFACQZSTRAAT 25-27-29,"50.827652, 4.359031",63.4219650863,4.359031,50.827652,5250432.03807,10121292.7587,POINT (4.359031 50.827652)
86,50.876195,4.324477,MAISON COMMUNALE DE JETTE / JETTE GEMEENTEHUIS - CHAUSSEE DE WEMMEL/WEMMELSESTEENWEG 102,"50.876195, 4.324477",85.2104830656,4.324477,50.876195,5243576.46681,10117951.5606,POINT (4.324477 50.876195)
269,50.860859,4.421375,CICERON - CHAUSSE DE LOUVAIN / LEUVENSESTEENWEG1166,"50.860859, 4.421375",78.4134348602,4.421375,50.860859,5245500.88585,10126795.7902,POINT (4.421375 50.860859)
28,50.842005,4.3305,CLEMENCEAU - CHEE DE MONS/ BERGENSE STEENWEG 159-161-163,"50.842005, 4.3305",74.4471212377,4.3305,50.842005,5248454.81038,10118643.2827,POINT (4.3305 50.842005)
99,50.864992,4.338431,JUBILE - BOULEVARD DU JUBILE/ JUBELFEESTLAAN 79,"50.864992, 4.338431",85.4892212167,4.338431,50.864992,5245142.21853,10119263.3619,POINT (4.338431 50.864992)
213,50.821018,4.293865,LA ROUE / HET RAD - CH DE MONS 1100-1106 / BERGENSESTEENWEG 1100-1106,"50.821018, 4.293865",63.5558973763,4.293865,50.821018,5251558.48992,10115409.1663,POINT (4.293865 50.821018)
266,50.877552,4.409136,GARE BORDET / BORDET STATION - CHAUSSEE D'HAECHT FACE 1147 / HAACHTSESTEENWEG VOOR 1147,"50.877552, 4.409136",53.5564693539,4.409136,50.877552,5243146.90602,10125611.3547,POINT (4.409136 50.87755200000001)
288,50.802711,4.358842,HOUZEAU - AVENUE HOUZEAU 10 / HOUZEAULAAN 10,"50.802711, 4.358842",79.4480830286,4.358842,50.802711,5254005.17774,10121384.7539,POINT (4.358842 50.802711)
147,50.861874,4.372146,EMILE MAX LYCEE/LYCEUM EMILE MAX - CHAUSSEE D'HAECHT/ HAACHTSESTEENWEG 226 - 230,"50.861874, 4.372146",84.8564642506,4.372146,50.861874,5245495.55176,10122331.289,POINT (4.372146 50.861874)
345,50.802675,4.412073,3 TILLEULS - AV DES ORTOLANS 2,"50.802675, 4.412073",69.1875356347,4.412073,50.802675,5253859.78617,10126217.5174,POINT (4.412073 50.802675)
119,50.82559,4.379555,PAQUOT -  RUE JEAN PAQUOT (44 A 48) /JEAN PAQUOTSTRAAT (44 T.E.M 48),"50.82559, 4.379555",61.452211193,4.379555,50.82559,5250670.05253,10123163.5791,POINT (4.379555 50.82559)
317,50.819546,4.421198,GEYSKENS - AVENUE ISIDORE GEYSKENSLAAN FACE/TEGENOVER 108,"50.819546, 4.421198",67.074923526,4.421198,50.819546,5251416.76158,10126968.6914,POINT (4.421198 50.819546)
89,50.8711927451,4.32992476564,ATHENEE DE JETTE/ATHENEUM VAN JETTE - AVENUE DE LEVIS MIREPOIX / DE LEVIS MIREPOIXLAAN 100,"50.8711927451, 4.32992476564",83.2225262497,4.32992476564,50.8711927451,5244277.73312,10118466.2677,POINT (4.32992476564 50.8711927451)
225,50.821117,4.342008,PLACE ALBERT/PLEIN - PLACE ALBERT / ALBERTPLEIN,"50.821117, 4.342008",63.5907686972,4.342008,50.821117,5251414.89801,10119776.8672,POINT (4.342008 50.821117)
247,50.79586,4.32058,STALLE - RUE DE STALLE PROLONGEE/VERLENGDE STALLESTRAAT,"50.79586, 4.32058",91.9293145192,4.32058,50.79586,5255091.42973,10117940.1174,POINT (4.32058 50.79586)
131,50.81329,4.434751,JARDIN MASSART - AV HERMANN DEBROUXLAAN,"50.81329, 4.434751",68.8844873755,4.434751,50.81329,5252273.33238,10128227.2229,POINT (4.434751 50.81329)
58,50.859181,4.35942,GARE DU NORD/NOORDSTATION - PLACE DU NORD / NOORDPLAATS,"50.859181, 4.35942",78.3377184785,4.35942,50.859181,5245916.43835,10121190.1268,POINT (4.35942 50.859181)
355,50.837714,4.369117,PARNASSE - RUE DU TRONE N°66 (CLOS PARNASSE),"50.837714, 4.369117",75.2367904404,4.369117,50.837714,5248963.04457,10122163.2893,POINT (4.369117 50.837714)
66,50.843359,4.379946,SCHUMAN - RUE DE LA LOI 170,"50.843359, 4.379946",74.4357256836,4.379946,50.843359,5248124.40847,10123120.1286,POINT (4.379946 50.843359)
264,50.870983,4.397506,NOTRE DAME / ONZE LIEVE VROUW - AV NOTRE DAME 53 A 61 / ONZE LIEVE VROUWLAAN 53 TOT 61,"50.870983, 4.397506",67.6734947167,4.397506,50.870983,5244120.25159,10124587.8502,POINT (4.397506 50.870983)
182,50.83168,4.404769,BOILEAU - BOULEVARD SAINT MICHEL / SINT-MICHIELSLAAN,"50.83168, 4.404769",77.0316701149,4.404769,50.83168,5249726.33251,10125423.2338,POINT (4.404769 50.83168)
93,50.85062,4.381152,CLOVIS - CHAUSSEE DE LOUVAIN - LEUVENSESTEENWEG 260-264,"50.85062, 4.381152",74.8199191123,4.381152,50.85062,5247081.41412,10123197.1929,POINT (4.381152 50.85062)
116,50.818253,4.395749,ULB PLAINE - BOULEVARD DE LA PLAINE  (ENTREE ULB) / PLEINLAAN (INGANG VUB),"50.818253, 4.395749",73.0198705199,4.395749,50.818253,5251675.06711,10124665.5343,POINT (4.395749 50.818253)
9,50.844045,4.345048,ANNEESSENS - BLD MAURICE LEMONNIER/MAURICE LEMONNIERLAAN 42-44-46,"50.844045, 4.345048",75.3200530245,4.345048,50.844045,5248123.05173,10119953.4216,POINT (4.345048 50.844045)
138,50.865218,4.377735,HOUFFALIZE - PLACE DE HOUFFALIZE /HOUFFALIZEPLEIN 58,"50.865218, 4.377735",67.5403061262,4.377735,50.865218,5245001.23797,10122822.8145,POINT (4.377735 50.865218)
218,50.845928,4.323812,DELACROIX - RUE LEON DELACROIX 1 a 7 / LEON DELACROIXSTRAAT 1 tot 7,"50.845928, 4.323812",83.6651037068,4.323812,50.845928,5247911.16054,10118020.2102,POINT (4.323812 50.845928)
244,50.81218,4.368321,BOIS DE LA CAMBRE - AV WINSTON CHURCHIL 254 / WINSTON CHURCHILLAAN 254,"50.81218, 4.368321",81.7813531621,4.368321,50.81218,5252622.2931,10122203.5944,POINT (4.368321 50.81218)
159,50.869297,4.36257,MASUI - AVENUE DE LA REINE / KONINGINNELAAN 153,"50.869297, 4.36257",76.7812260557,4.36257,50.869297,5244459.66197,10121431.2087,POINT (4.36257 50.869297)
186,50.861783,4.302607,GENOT - CHAUSSEE DE GAND DEVANT 1033,"50.861783, 4.302607",67.5176445948,4.302607,50.861783,5245697.87658,10116031.4813,POINT (4.302607 50.861783)
27,50.838733,4.32176,SQUARE ALBERT I / ALBERT I-SQUARE 25 - 26 - 27,"50.838733, 4.32176",71.3841189542,4.32176,50.838733,5248946.96769,10117864.7954,POINT (4.32176 50.838733)
150,50.854654,4.398451,MEISER - PLACE GENERAL MEISER (FACE 1 - 3) / GENERAAL MEISERPLEIN (TEGENOVER 1 - 3),"50.854654, 4.398451",79.9387593446,4.398451,50.854654,5246454.93402,10124746.8709,POINT (4.398451 50.854654)
181,50.835723,4.394395,LOUIS TITZ - AVENUE DE LA CHASSE/ JACHTLAAN 182 - 184,"50.835723, 4.394395",88.2140044831,4.394395,50.835723,5249176.9679,10124464.2606,POINT (4.394395 50.835723)
273,50.854824,4.306209,TAMARIS - BD METTEWIE LAAN VOOR/FACE 71,"50.854824, 4.306209",58.6417711594,4.306209,50.854824,5246684.58977,10116387.0694,POINT (4.306209 50.854824)
126,50.837288,4.43462,FABRY - BOULEVARD DE LA WOLUWE / WOLUWELAAN 28,"50.837288, 4.43462",86.8562047422,4.43462,50.837288,5248836.91771,10128104.5035,POINT (4.43462 50.837288)
198,50.847649,4.307714,SCHEUT - CHEE DE NINOVE (FACE 441) / NINOOFSESTEENWEG (TEGENOVER 441),"50.847649, 4.307714",62.1486378799,4.307714,50.847649,5247707.88454,10116553.6456,POINT (4.307714 50.847649)
61,50.843836,4.378002,MAELBEEK/MAALBEEK - CHAUSSEE D'ETTERBEEK/ETTERBEEKSESTEENWEG 15,"50.843836, 4.378002",93.2356838171,4.378002,50.843836,5248061.57135,10122941.7797,POINT (4.378002 50.843836)
8,50.845683,4.368582,ARTS-LOI/KUNST-WET -  AVENUE DES ARTS/KUNSTLAAN 24,"50.845683, 4.368582",73.0199010585,4.368582,50.845683,5247823.46792,10122079.6834,POINT (4.368582 50.845683)
153,50.854128,4.378002,SQUARE ARMAND STEURS/ARMAND STEURSSQUARE - AVENUE PAUL DESCHANEL (FACE N° 267 - 269) / PAUL DESCHANELLAAN (TEGENOVER 267 - 269),"50.854128, 4.378002",77.0669745894,4.378002,50.854128,5246588.03819,10122896.1518,POINT (4.378002 50.854128)
262,50.87693,4.400722,PLACE DE LA PAIX / VREDEPLAIN - PLACE DE LA PAIX FACE 24 / VREDEPLEIN VOOR 24,"50.87693, 4.400722",99.9815629102,4.400722,50.87693,5243259.96404,10124852.3257,POINT (4.400722 50.87693)
154,50.851241,4.396386,PLASKY - SQUARE EUGENE PLASKY (FACE 100) / EUGENE PLASKYSQUARE (TEGENOVER 100),"50.851241, 4.396386",67.7696183045,4.396386,50.851241,5246949.42216,10124575.077,POINT (4.396386 50.851241)
295,50.793682,4.418497,COIN DU BALAI - AV DE LA FORESTERIE,"50.793682, 4.418497",60.7025272429,4.418497,50.793682,5255129.63831,10126841.8045,POINT (4.418497 50.793682)
306,50.889603,4.373967,HEMBEEK - ANGLE AV DES CROIX DE FEU / VUURKRUISENLAAN 7-9,"50.889603, 4.373967",65.5982412424,4.373967,50.889603,5241521.88848,10122373.7838,POINT (4.373967 50.889603)
359,50.867708,4.357532,JCDecaux - ALLÉE VERTE 50 À 1000 BRUXELLES,"50.867708, 4.357532",43.5423933819,4.357532,50.867708,5244701.04761,10120981.8353,POINT (4.357532 50.867708)
299,50.80941,4.386541,SAINT-ADRIEN - AV DU PESAGE N°21,"50.80941, 4.386541",77.7476749914,4.386541,50.80941,5252967.88105,10123869.5325,POINT (4.386541 50.80941)
38,50.837912,4.347421,JEU DE BALLE/VOSSENPLEIN - RUE BLAES/BLAESSTRAAT 135-141,"50.837912, 4.347421",75.1291291517,4.347421,50.837912,5248994.74506,10120195.1408,POINT (4.347421 50.837912)
11,50.8405,4.356878,FERMÉE - TRAVAUX STIB - SABLON/ZAVEL - RUE DE LA REGENCE/REGENTSCHAPSSTRAAT 20,"50.8405, 4.356878",68.8737698393,4.356878,50.8405,5248598.09762,10121041.3546,POINT (4.356878 50.8405)
176,50.852356,4.408635,COLONEL BOURG/KOLONEL BOURG - RUE COLONEL BOURG/ KOLONEL BOURGSTRAAT 104,"50.852356, 4.408635",75.3371018626,4.408635,50.852356,5246754.81093,10125680.125,POINT (4.408635 50.852356)
1,50.836304,4.41505,LEOPOLD II - AVENUE DE TERVUREN FACE / TERVURENLAAN VOOR 218,"50.836304, 4.41505",75.6830011052,4.41505,50.836304,5249034.64088,10126334.5592,POINT (4.41505 50.836304)
92,50.875826,4.329921,LENOIR - BLD DE SMET DE NAEYER/DE SMET DE NAEYERLAAN 187 - 189,"50.875826, 4.329921",58.4221086701,4.329921,50.875826,5243614.58365,10118446.1155,POINT (4.329921 50.875826)
15,50.837036,4.406826,MONTGOMERY - AVENUE DE TERVUREN / TERVURENLAAN 136-138,"50.837036, 4.406826",62.8755825851,4.406826,50.837036,5248953.47078,10125585.5329,POINT (4.406826 50.837036)
180,50.837726,4.381565,JOURDAN - RUE FROISSART (FACE 3 - 5) / FROISSARTSTRAAT (TEGENOVER 3 - 5),"50.837726, 4.381565",57.1141433037,4.381565,50.837726,5248926.43785,10123291.9427,POINT (4.381565 50.837726)
105,50.829631,4.3692,DE HENNIN -  CHAUSSEE D'IXELLES/ELSENSE STEENWEG 254 - 260,"50.829631, 4.3692",66.4031129784,4.3692,50.829631,5250120.3341,10122206.4365,POINT (4.3692 50.829631)
18,50.84771,4.377552,GUTENBERG - SQUARE GUTENBERG (FACE N° 5)/GUTENBERGSSQUARE (TEGENOVER N° 5),"50.84771, 4.377552",73.6499238726,4.377552,50.84771,5247508.15849,10122883.8148,POINT (4.377552000000001 50.84771)
357,50.834634,4.456746,AVIATION - INTERSECTION AVENUE DE L'AVIATION ET AVENUE ORBAN,"50.834634, 4.456746",69.7429770467,4.456746,50.834634,5249151.75395,10130123.0832,POINT (4.456746 50.834634)
257,50.872169,4.298216,PLACE MARGHERITE D'AUTRICHE / MARGARETHA VAN OOSTENRIJKPLEIN,"50.872169, 4.298216",82.8829616046,4.298216,50.872169,5244222.76862,10115590.2853,POINT (4.298216 50.872169)
111,50.827831,4.431822,ETANGS MELLAERTS VIJVERS - BOULEVARD DU SOUVERAIN FACE / VORSTLAAN VOOR 275,"50.827831, 4.431822",62.6730520085,4.431822,50.827831,5250199.31091,10127894.391,POINT (4.431822 50.827831)
20,50.843613,4.360628,PALAIS ROYAL/KONINGSSTRAAT PALEIS - RUE ROYALE (DEVANT N°14)/KONINKLIJKESTRAAT (N°14),"50.843613, 4.360628",73.3533865479,4.360628,50.843613,5248141.96852,10121367.7232,POINT (4.360628000000001 50.843613)
251,50.800377,4.326985,PAOLA - RUE VICTOR ALLARD FACE 222 / VICTOR ALLARD STRAAT VOOR 222,"50.800377, 4.326985",75.6398021621,4.326985,50.800377,5254426.9142,10118502.4616,POINT (4.326985 50.800377)
183,50.829928,4.390357,LA CHASSE/JACHT - AVENUE DES CASERNES/ KAZERNENLAAN 4 - 6,"50.829928, 4.390357",54.6271037623,4.390357,50.829928,5250018.28868,10124124.0333,POINT (4.390357 50.829928)
145,50.859096,4.379117,COTEAUX/WIJNHEUVELEN - AVENUE ROGIER / ROGIERLAAN 128,"50.859096, 4.379117",76.1260145942,4.379117,50.859096,5245873.70278,10122975.1559,POINT (4.379117 50.85909600000001)
179,50.839217,4.398015,CELTES/KELTEN - AVENUE DE TERVUEREN (FACE AU 17) / TERVURENLAAN (TEGENOVER 17),"50.839217, 4.398015",63.9798558446,4.398015,50.839217,5248666.35157,10124776.7962,POINT (4.398015 50.839217)
294,50.798344,4.419014,WIENER - PLACE WIENER 2 / WIENERPLAATS 2,"50.798344, 4.419014",60.8177868858,4.419014,50.798344,5254460.20393,10126867.4398,POINT (4.419014 50.798344)
265,50.867241,4.40287,EVERE SHOPPING - AV DES LOISIRS / VRIJETIJDSLAAN,"50.867241, 4.40287",57.8634761165,4.40287,50.867241,5244640.56076,10125090.5181,POINT (4.40287 50.86724100000001)
124,50.818283,4.363568,CHARLES GRAUX - CHAUSSEE DE WATERLOO (DEVANT N° 585 - 587)/ WATERLOOSESTEENWEG (N° 585 - 587),"50.818283, 4.363568",87.8359656847,4.363568,50.818283,5251761.33471,10121745.429,POINT (4.363568 50.81828300000001)
40,50.833931,4.343155,PORTE DE HAL/HALLEPOORT - BOULEVARD DU MIDI/ZUIDLAAN 142,"50.833931, 4.343155",84.7094224677,4.343155,50.833931,5249576.53339,10119825.5277,POINT (4.343155 50.833931)
356,50.829715,4.455151,CENTRE SPORTIF - AVENUE JULES DU JARDIN FACE AU N°45 (ROND POINT DU TIBET),"50.829715, 4.455151",67.3730193851,4.455151,50.829715,5249860.86365,10130001.4924,POINT (4.455151 50.829715)
211,50.816528,4.290832,METRO CERIA - CH DE MONS (FACE AU 1292 a 1284) / BERGENSESTEENWEG (TEGENOVER 1292 TOT 1284),"50.816528, 4.290832",98.6161597459,4.290832,50.816528,5252209.65303,10115152.6319,POINT (4.290832 50.816528)
122,50.822207,4.389325,GARE D'ETTERBEEK/STATION VAN ETTERBEEK - BOULEVARD GENERAL JACQUES/GENERAAL JACQUESLAAN,"50.822207, 4.389325",76.2721221332,4.389325,50.822207,5251126.98924,10124064.9664,POINT (4.389325 50.822207)
239,50.8187714,4.350961,DARWIN - AV. BRUGMANN / BRUGMANNLAAN 139-147,"50.8187714, 4.350961",79.4434469327,4.350961,50.8187714,5251726.28129,10120599.3728,POINT (4.350961 50.8187714)
135,50.872744,4.376647,PARC LACROIX / LACROIX PARK - AV PRINCESSE ELISABETH/PRINSES ELISABETHLAAN,"50.872744, 4.376647",80.5927926709,4.376647,50.872744,5243927.06793,10122690.9439,POINT (4.376647 50.872744)
67,50.83975,4.385426,PARC CINQUANTENAIRE/JUBELPARK - AVENUE D'AUDERGHEM/OUDERGEMSESTEENWEG 45,"50.83975, 4.385426",71.9249263424,4.385426,50.83975,5248625.73172,10123633.0071,POINT (4.385426000000001 50.83975)
24,50.855268,4.358717,ROGIER - BOULEVARD DU JARDIN BOTANIQUE/KRUIDTUINLAAN,"50.855268, 4.358717",67.2482267802,4.358717,50.855268,5246478.56416,10121143.5319,POINT (4.358717 50.855268)
121,50.823986,4.37379,ETANGS / VIJVERS - RUE GUILLAUME STOCQ (FACE AU N° 1-3-5)/ GUILLAUME STOCQSTRAAT (TEGENOVER N° 1-3-5),"50.823986, 4.37379",55.4870826708,4.37379,50.823986,5250915.96283,10122647.715,POINT (4.37379 50.823986)
330,50.847546,4.450015,VANDERVELDE - AVENUE EMILE VANDERVELDE 90,"50.847546, 4.450015",73.0925962447,4.450015,50.847546,5247322.97549,10129452.494,POINT (4.450015 50.847546)
353,50.815681,4.40812,BEAULIEU - RUE JULES COCKX / JULES COCKXSTRAAT,"50.815681, 4.40812",69.5661934046,4.40812,50.815681,5252008.08406,10125799.6662,POINT (4.40812 50.815681)
6,50.845333,4.356475,GARE CENTRALE/CENTRAAL STATION - BLD DE L'IMPERATRICE/KEIZERINLAAN,"50.845333, 4.356475",89.7953549309,4.356475,50.845333,5247907.18539,10120983.7206,POINT (4.356475 50.845333)
161,50.872592,4.379886,DEMOLDER - AVENUE EUGENE DEMOLDER / EUGENE DEMOLDERLAAN 68,"50.872592, 4.379886",72.6879923273,4.379886,50.872592,5243939.74139,10122984.945,POINT (4.379886 50.872592)
109,50.824048,4.359896,CHATELAIN/KASTELEIN - RUE DE L'AQUEDUC /AQUADUCTSTRAAT 115-117-119,"50.824048, 4.359896",73.6288779035,4.359896,50.824048,5250945.80992,10121386.9989,POINT (4.359896 50.824048)
271,50.851158,4.309591,DUBOIS - BD EMILE MACHTENS/LAAN 102-104,"50.851158, 4.309591",81.6700883909,4.309591,50.851158,5247200.45867,10116709.0062,POINT (4.309591 50.851158)
172,50.869764,4.388191,AEROPOLIS - CHAUSSEE D'HAECHT (FACE 586) / HAACHTSESTEENWEG (TEGENOVER 586),"50.869764, 4.388191",76.0396091628,4.388191,50.869764,5244321.12141,10123749.6755,POINT (4.388191 50.869764)
263,50.872002,4.403286,MAISON COMMUNALE D'EVERE/ EVERE GEMEENTEHUIS - SQUARE HOEDEMAEKERS / HOEDEMAEKERSESQUARE 7-8,"50.872002, 4.403286",64.7720549741,4.403286,50.872002,5243957.94041,10125106.7162,POINT (4.403286 50.872002)
274,50.86002,4.307502,CORAY - CHEE DE GAND DEVANT 579-587 GENTSESTEENWEG VOOR 579-587,"50.86002, 4.307502",74.5848424186,4.307502,50.86002,5245937.26162,10116482.394,POINT (4.307502 50.86002)
278,50.894005,4.331902,STADE / STADIUM - AVENUE HOUBA DE STROOPER / HOUBA DE STROOPERLAAN,"50.894005, 4.331902",75.9494451633,4.331902,50.894005,5241007.67028,10118547.6833,POINT (4.331902 50.894005)
68,50.840282,4.380131,JEAN REY - PLACE JEAN REY/JEAN REYPLAATS,"50.840282, 4.380131",73.0606316166,4.380131,50.840282,5248564.47364,10123150.565,POINT (4.380131 50.840282)
125,50.817392,4.354105,GEORGES BRUGMANN - PLACE GEORGES BRUGMANN/GEORGES BRUGMANNPLEIN N° 10 - 11,"50.817392, 4.354105",67.8991732946,4.354105,50.817392,5251915.18926,10120890.6634,POINT (4.354105 50.817392)
339,50.845365,4.41788,MEUDON - SQUARE MEUDON,"50.845365, 4.41788",63.3725696602,4.41788,50.845365,5247729.08792,10126549.8271,POINT (4.41788 50.845365)
90,50.867448,4.326807,BROUSTIN - AV DE JETTE/ JETSELAAN 73 - 81,"50.867448, 4.326807",81.2087684348,4.326807,50.867448,5244822.17888,10118199.8675,POINT (4.326807 50.867448)
249,50.794186,4.366336,SAINT-JOB/SINT JOB - PLACE SAINT JOB/SINT-JOB PLEIN,"50.794186, 4.366336",70.9531500802,4.366336,50.794186,5255205.75242,10122102.6427,POINT (4.366336 50.794186)
332,50.845229,4.404311,VERGOTE - BD BRAND WHITLOK,"50.845229, 4.404311",65.8157864961,4.404311,50.845229,5247787.56307,10125320.4665,POINT (4.404311 50.84522900000001)
163,50.859112,4.39157,CHAZAL - AVENUE ERNEST CAMBIER (FACE 7)/ ERNEST CAMBIERLAAN (TEGENOVER 7),"50.859112, 4.39157",50.5839205185,4.39157,50.859112,5245836.29355,10124103.3777,POINT (4.39157 50.859112)
127,50.832194,4.377694,DÉMONTÉE POUR TRAVAUX - GRAY  -  RUE DES DEUX PONTS (FACE 4)/ TWEEBRUGGENSTRAAT (TEGENOVER 4),"50.832194, 4.377694",49.9237763459,4.377694,50.832194,5249729.50701,10122965.4756,POINT (4.377694 50.832194)
64,50.832749,4.331058,VETERINAIRES/VEEARTSEN - RUE DE FRANCE / FRANKRIJKSTRAAT,"50.832749, 4.331058",67.8202577155,4.331058,50.832749,5249778.777,10118733.5243,POINT (4.331058 50.832749)
74,50.831936,4.353037,PLACE LOIX/LOIXPLEIN - RUE BERCKMANS/ BERCKMANSSTRAAT 78 - 84,"50.831936, 4.353037",86.3283618559,4.353037,50.831936,5249835.08002,10120730.3976,POINT (4.353037 50.831936)
209,50.828602,4.299621,VEEWEYDE / VEEWEIDE - BD THEO LAMBERT (FACE 5 a 9) / THEO LAMBERTLAAN (TEGENOVER ( tot 9),"50.828602, 4.299621",74.9393993009,4.299621,50.828602,5250456.99882,10115899.699,POINT (4.299621 50.828602)
194,50.885885,4.342003,AVENUE HOUBA DE STROOPER LAAN 30-32,"50.885885, 4.342003",60.2964743747,4.342003,50.885885,5242142.16625,10119496.8046,POINT (4.342003 50.885885)
324,50.819641,4.412926,THOMAS BALIS - CHEE DE WAVRE 1395 à 1403 / WAVERSESTEENWEG 1395 TOT 1403,"50.819641, 4.412926",70.8090481686,4.412926,50.819641,5251427.06334,10126217.7534,POINT (4.412926 50.819641)
241,50.803917,4.349116,STATUAIRES/BEELDHOUWWERK - AVENUE DE FRE/DE FRELAAN 62,"50.803917, 4.349116",86.8833965211,4.349116,50.803917,5253859.27975,10120496.5065,POINT (4.349116 50.803917)
81,50.870259,4.343195,PONT BOCKSTAEL/BRUG BOCKSTAEL - BLD EMILE BOCKSTAEL/EMILE BOCKSTAELLAAN 5,"50.870259, 4.343195",61.1917454339,4.343195,50.870259,5244375.29867,10119672.1789,POINT (4.343195 50.870259)
268,50.862808,4.410791,DUNANT - AV HENRI DUNANT / HENRI DUNANTLAAN,"50.862808, 4.410791",75.5059659219,4.410791,50.862808,5245252.40817,10125828.0822,POINT (4.410791 50.862808)
205,50.835503,4.299573,DE LINDE - PLACE DE LINDE 22 / DE LINDEPLEIN 22,"50.835503, 4.299573",66.3746448586,4.299573,50.835503,5249468.78554,10115866.4766,POINT (4.299573 50.835503)
319,50.885197,4.317648,ANCIENNE BARRIERE / OUDE AFSPANNINGSPLEIN - PLACE DE L'ANCIENNE BARRIERE FACE 10,"50.885197, 4.317648",80.0680664021,4.317648,50.885197,5242306.47103,10117295.0334,POINT (4.317648 50.885197)
221,50.821846,4.284394,CURIE - SQUARE MARIE CURIE (FACE 30) / MARIE CURIE SQUARE (TEGENOVER 30),"50.821846, 4.284394",70.6572126001,4.284394,50.821846,5251464.7898,10114546.3929,POINT (4.284394000000001 50.821846)
293,50.810528,4.40231,KEYM - AVENUE DU COLVERT,"50.810528, 4.40231",72.3210036551,4.40231,50.810528,5252762.85915,10125295.7264,POINT (4.40231 50.810528)
313,50.814958,4.416987,DEMEY - INTERSECTION BD INVALIDENLAAN / AV LOUIS DEHOUXLAAN,"50.814958, 4.416987",67.9520422885,4.416987,50.814958,5252086.09104,10126607.5682,POINT (4.416987 50.814958)
128,50.832355,4.432358,MUSEE DU TRAM - AVENUE DE TERVUREN / TERVURENLAAN,"50.832355, 4.432358",69.6251481991,4.432358,50.832355,5249549.89737,10127922.1486,POINT (4.432358 50.832355)
4,50.847976,4.343696,JARDIN AUX FLEURS/BLOEMENHOF - PLACE DU JARDIN AUX FLEURS/BLOEMENHOFPLEIN - RUE DES 6 JETONS/ZES PENNIGENSTRAAT 71,"50.847976, 4.343696",66.635230758,4.343696,50.847976,5247563.90107,10119813.8591,POINT (4.343696 50.847976)
304,50.893497,4.363297,ARAUCARIA - AV DES CROIX DE FEU DEV 221C,"50.893497, 4.363297",73.3096244056,4.363297,50.893497,5240994.37906,10121391.0085,POINT (4.363297 50.893497)
343,50.861788,4.292913,VANDENDRIESCH - RUE J-B VANDENDRIESCH 22-24,"50.861788, 4.292913",84.8557757647,4.292913,50.861788,5245722.76866,10115153.1551,POINT (4.292913 50.861788)
303,50.807903,4.392756,VIEUX TILLEUL - AV DU BOIS DE LA CAMBRE FACE 113,"50.807903, 4.392756",82.0451668365,4.392756,50.807903,5253166.13564,10124440.3879,POINT (4.392756 50.807903)
32,50.850176,4.346384,DANSAERT - RUE ANTOINE DANSAERT/ANTOINE DANSAERTSTRAAT 60-62-64,"50.850176, 4.346384",82.9287572766,4.346384,50.850176,5247241.54789,10120047.9788,POINT (4.346384 50.850176)
296,50.79528,4.40832,GARE DE BOITSFORT / BOSVOORDE STATION - CHEE DE LA HULPE DVT 187 / HULPSESTEENWEG 187,"50.79528, 4.40832",77.6193219124,4.40832,50.79528,5254930.05754,10125910.3595,POINT (4.40832 50.79528000000001)
157,50.863388,4.386222,HELIOTROPES/HELIOTROPEN - BOULEVARD LAMBERMONT /  LAMBERMONTLAAN 374,"50.863388, 4.386222",71.5451252288,4.386222,50.863388,5245239.3171,10123599.7653,POINT (4.386222 50.863388)
