node,x,y,pm
0,50.812489,4.3792029999999995,63.027657875
1,50.833424,4.313378,78.8726802496
2,50.804455,4.426369,53.5807796005
3,50.877037,4.300847,80.3057668322
4,50.863875,4.358708,86.04048798950001
5,50.820042,4.374785,76.9910188843
6,50.810085,4.324864,79.56075235770001
7,50.845124,4.351486,83.1785942079
8,50.81418,4.347721,58.8756459072
9,50.895485,4.341311,71.54948504069999
10,50.816525,4.3362120000000015,68.5036702937
11,50.872475,4.314266,61.66656297390001
12,50.798988,4.3755809999999995,76.93059858810001
13,50.856582,4.430988,88.44241252379999
14,50.87808,4.34793,76.777572239
15,50.874767,4.308977,82.66253574779999
16,50.82435200000001,4.334465,66.8975586539
17,50.835968,4.355508,67.9958824949
18,50.836151,4.3260190000000005,77.1657407476
19,50.895592,4.387965,60.586137147799995
20,50.85904,4.312402,69.1429609991
21,50.876205,4.337137,88.2752636484
22,50.834237,4.350732,60.9683429662
23,50.873354,4.3343110000000005,86.9757323843
24,50.862152,4.323353,85.7473585269
25,50.848865999999994,4.320628,64.5694833772
26,50.813858,4.330992,77.2854769087
27,50.860652,4.358116000000001,71.1402668045
28,50.84045,4.305055,76.4428413975
29,50.849358,4.363589,61.2441039757
30,50.874082,4.362205,80.85567106149999
31,50.834792,4.364115,78.9811414735
32,50.853666,4.351771,65.3059061944
33,50.877125,4.3875150000000005,85.8128491799
34,50.858959999999996,4.330107,85.3564679043
35,50.859608,4.33409,75.9632200282
36,50.841770000000004,4.3841800000000015,67.475269297
37,50.896278,4.372427,48.3707316667
38,50.853947,4.31635,80.2301821824
39,50.821557,4.4022879999999995,70.7502212608
40,50.82757700000001,4.363797,75.8165504817
41,50.856714000000004,4.362106,67.5753996258
42,50.88058,4.401674,63.0527347267
43,50.868790000000004,4.399587,68.7891225744
44,50.881588,4.373817,91.3705713807
45,50.809406,4.443777,77.1143133982
46,50.858058,4.318689,71.6928034532
47,50.839413,4.328914,77.6106889508
48,50.811752,4.3534239999999995,85.5014569162
49,50.887001,4.310701,62.1752820128
50,50.849409,4.389263,80.4023501608
51,50.831592,4.385786,68.5836527335
52,50.859212,4.34551,64.7828728511
53,50.854714,4.347151,62.7583762459
54,50.857217999999996,4.407879,57.4199192507
55,50.869032000000004,4.309731,71.0529137571
56,50.866609999999994,4.373101999999999,45.552062742
57,50.819939,4.325277,79.7970072921
58,50.859243,4.401022,71.9299716552
59,50.825749,4.345165,86.9113598225
60,50.8572655241,4.33236837869,81.6161554528
61,50.848184,4.425621,72.3877267642
62,50.851919,4.352776,92.94150523489999
63,50.84563,4.346941999999999,77.0884917602
64,50.867020000000004,4.406994999999998,76.4300580715
65,50.863872,4.366741,79.7640361795
66,50.85658400000001,4.352876999999999,62.377271960600005
67,50.823898,4.367751999999999,71.3257727816
68,50.825706,4.288377,64.209227948
69,50.824055,4.326376,89.81978876790001
70,50.833444,4.334857,70.48351104449999
71,50.852389,4.387373,72.3600032368
72,50.827971999999995,4.330705,58.2540208372
73,50.853972999999996,4.38374,80.0827003231
74,50.828873,4.303918,75.3109547828
75,50.846331,4.355193,73.7024580651
76,50.884251,4.330287,93.6568443297
77,50.796471000000004,4.3284150000000015,62.728582805100004
78,50.818382,4.346061,68.670324345
79,50.836923999999996,4.389073000000002,74.1478617835
80,50.853248,4.366188,81.1898640724
81,50.818456,4.4034900000000015,69.18588285770001
82,50.866795,4.3092224,73.57972019600001
83,50.890522,4.345112,76.31658127680001
84,50.862652000000004,4.316644,68.175690578
85,50.848701,4.3560550000000005,74.5192949252
86,50.802563,4.315701,67.8222755921
87,50.820278,4.330801999999999,95.77306695530001
88,50.84413,4.374871,67.0772180219
89,50.812328,4.318885,61.3296155598
90,50.880539,4.3282300000000005,73.878624965
91,50.847617,4.436083999999999,67.9098923457
92,50.87226500000001,4.352158,77.1766881104
93,50.849988,4.417064,58.747159598
94,50.815909999999995,4.2737,84.4929743875
95,50.854231,4.444033999999999,64.9384285121
96,50.826992,4.382379,83.7300167686
97,50.848893,4.349396,56.8320623285
98,50.809799,4.317546,70.6516892842
99,50.848255,4.314854,70.08880067359999
100,50.855969,4.355657,54.5192404776
101,50.853518,4.3924910000000015,82.2326195463
102,50.804660999999996,4.327886,94.93728557040001
103,50.829491,4.2860059999999995,82.6864804786
104,50.823699,4.351623,77.4033087035
105,50.867393,4.320344,80.3006708206
106,50.848578,4.459038,79.0408366332
107,50.83579,4.375782,60.8355051621
108,50.890181,4.3369620000000015,79.4089913448
109,50.816029,4.391006,61.7030344539
110,50.857234999999996,4.3243540000000005,55.635152385699996
111,50.872501,4.290218,70.93111600659999
112,50.843967,4.313537,79.8724751456
113,50.843693,4.304986,85.507360565
114,50.86284000000001,4.331259999999999,73.96164514670002
115,50.830179,4.337958,54.8618918342
116,50.868010999999996,4.313968,68.9461574578
117,50.82708,4.444795,81.5101077422
118,50.806271,4.387673,77.6481734864
119,50.855629,4.394807,72.781853626
120,50.814852,4.376794,72.0930478377
121,50.850303000000004,4.3607059999999995,52.7749660718
122,50.827954999999996,4.347791,64.462857676
123,50.827652,4.359031,63.4219650863
124,50.876195,4.324477,85.2104830656
125,50.86085900000001,4.421375,78.4134348602
126,50.842005,4.3305,74.4471212377
127,50.864992,4.338431,85.4892212167
128,50.821018,4.293865,63.5558973763
129,50.877552,4.409136,53.556469353900006
130,50.802710999999995,4.358842,79.4480830286
131,50.861874,4.372146,84.8564642506
132,50.802675,4.412073,69.1875356347
133,50.82559000000001,4.379555,61.452211193000004
134,50.819546,4.421198,67.074923526
135,50.871192745100004,4.32992476564,83.2225262497
136,50.821117,4.342008,63.59076869720001
137,50.79586,4.3205800000000005,91.9293145192
138,50.81329,4.434751,68.8844873755
139,50.859181,4.35942,78.33771847850001
140,50.837714,4.369117,75.2367904404
141,50.843359,4.379946,74.4357256836
142,50.870983,4.397506,67.6734947167
143,50.83168,4.404769,77.0316701149
144,50.85062,4.381151999999998,74.8199191123
145,50.81825300000001,4.3957489999999995,73.0198705199
146,50.844045,4.345048,75.3200530245
147,50.865218,4.3777349999999995,67.5403061262
148,50.845928,4.323812,83.6651037068
149,50.81218,4.368321,81.7813531621
150,50.869296999999996,4.36257,76.7812260557
151,50.861783,4.302607,67.51764459479999
152,50.83873300000001,4.32176,71.3841189542
153,50.854654,4.3984510000000006,79.9387593446
154,50.835723,4.394394999999999,88.2140044831
155,50.854824,4.306209,58.641771159399994
156,50.837288,4.43462,86.85620474219999
157,50.847649,4.307714,62.1486378799
